M-STFT,PESQ,MCD,Periodicity,V/UV F1,UTMOS,Audio_ID,Periodicity_RMSE
0.7215649485588074,4.082104682922363,0.3665169566371112,0.07406061142683029,0.9522510170936584,2.2822699546813965,,
0.7516753077507019,4.072170734405518,0.3993702539491875,0.07971638441085815,0.9808722138404846,2.5187971591949463,,
0.6953539848327637,4.159834384918213,0.20911384151829374,0.04479571059346199,0.9735448956489563,3.198972463607788,,
0.7232714295387268,4.358339786529541,0.26204826036081247,0.05323808640241623,0.9797101020812988,2.3781228065490723,,
0.6745350956916809,4.296024799346924,0.2664900297333576,0.07096479833126068,0.9748502969741821,2.7786295413970947,,
0.65879887342453,4.351387977600098,0.2762735255470826,0.041743203997612,0.9890909194946289,3.5978846549987793,,
0.6795957684516907,4.328960418701172,0.2848284969288762,0.050333086401224136,0.9842573404312134,3.279648542404175,,
0.6722877621650696,4.304074287414551,0.33223448567166414,0.05766153708100319,0.9805936217308044,1.624428391456604,,
0.6463649272918701,4.300104141235352,0.38954660139486724,0.05594192445278168,0.9629629850387573,2.429382562637329,,
0.6380799412727356,4.336906433105469,0.3766380287375978,0.0729110985994339,0.9653379321098328,2.2641408443450928,,
0.7199800610542297,4.273108959197998,0.2717770244670661,0.04349258169531822,0.9904305934906006,2.724754571914673,,
0.6958850026130676,4.1108880043029785,0.2759781061795508,0.07383264601230621,0.9788092970848083,3.060985565185547,,
0.6660229563713074,4.324801921844482,0.2568905636605336,0.04738956689834595,0.9831224083900452,2.774275302886963,,
0.7705981135368347,4.410706043243408,0.3166150479154328,0.34337711334228516,0.746268630027771,2.363187789916992,,
0.7328569293022156,4.2564473152160645,0.3076467503279739,0.06039655953645706,0.9789227247238159,3.0030324459075928,,
0.7201945185661316,4.27296257019043,0.6678445903788901,0.05451999977231026,0.988179624080658,3.0220208168029785,,
0.6522602438926697,4.420184135437012,0.2736749425984107,0.05721639096736908,0.9855071902275085,1.715764045715332,,
0.678153932094574,4.332180023193359,0.3094051561486414,0.046919599175453186,0.9849108457565308,2.1093966960906982,,
0.686403214931488,4.341439247131348,0.2928553007292576,0.045437559485435486,0.9846153855323792,2.3397727012634277,,
0.7124167084693909,4.2480316162109375,0.3198803878235182,0.06860832124948502,0.9802130460739136,1.9989608526229858,,
0.7600786685943604,4.353282451629639,0.2917062579632319,0.03155909478664398,0.9854369163513184,1.5619566440582275,,
0.7202052474021912,4.1781721115112305,0.3498099198462038,0.06273307651281357,0.981661319732666,1.7967073917388916,,
