Audio_ID,PESQ,M-STFT,MCD,Periodicity_RMSE,V_UV_F1,UTMOS
dev-clean/2086/149220/2086_149220_000016_000003,4.300103664398193,0.6463649272918701,107.3164308730775,0.054376423358917236,0.9730392156862745,2.429382801055908
dev-clean/2086/149220/2086_149220_000028_000000,4.336906909942627,0.6380799412727356,106.79904960587308,0.035132259130477905,0.9775715390564579,2.264141082763672
dev-clean/2277/149874/2277_149874_000007_000001,4.273115634918213,0.7199800610542297,112.50361083113525,0.034958239644765854,0.9551569506726458,2.724754571914673
dev-clean/2277/149896/2277_149896_000007_000006,4.110884189605713,0.6958850026130676,114.24806156887784,0.04487646743655205,0.9820245979186376,3.060985565185547
dev-clean/2277/149896/2277_149896_000025_000008,4.324799060821533,0.6660229563713074,115.00967412970236,0.03491980582475662,0.9841897233201581,2.774275541305542
dev-clean/2277/149897/2277_149897_000023_000000,4.410702705383301,0.7705979943275452,109.2341319556696,0.05474366992712021,0.9746835443037974,2.363187789916992
dev-clean/2277/149897/2277_149897_000046_000002,4.256453037261963,0.7328569293022156,114.64135452506484,0.04003320634365082,0.9850187265917603,3.0030322074890137
dev-clean/2412/153954/2412_153954_000004_000005,4.272956371307373,0.7201945185661316,99.10761878188286,0.02860379032790661,0.994140625,3.0220210552215576
dev-clean/2428/83699/2428_83699_000009_000000,4.420185089111328,0.6522602438926697,113.64788229335917,0.038998719304800034,0.9944598337950139,1.7157642841339111
dev-clean/2428/83699/2428_83699_000024_000004,4.332180976867676,0.678153932094574,110.0894583747004,0.024961600080132484,0.9719626168224299,2.1093969345092773
dev-clean/2428/83699/2428_83699_000047_000000,4.341435432434082,0.686403214931488,109.2523447006754,0.046284016221761703,0.9807692307692307,2.3397727012634277
dev-clean/2428/83705/2428_83705_000015_000004,4.248032569885254,0.7124166488647461,107.46030539995135,0.035006824880838394,0.9892761394101877,1.9989612102508545
dev-clean/2428/83705/2428_83705_000034_000002,4.353283882141113,0.7600787281990051,113.90301741124819,0.03395949676632881,0.98828125,1.5619566440582275
dev-clean/251/118436/251_118436_000017_000001,4.178168296813965,0.7202053070068359,106.20258850412841,0.03788185119628906,0.979559748427673,1.7967076301574707
dev-clean/251/136532/251_136532_000000_000003,4.359384059906006,0.7102251648902893,115.71483223832988,0.048235174268484116,0.9811320754716981,1.831606388092041
dev-clean/251/136532/251_136532_000020_000004,4.225502967834473,0.679117739200592,113.99601288410477,0.037639763206243515,0.9836888331242157,1.5965614318847656
dev-clean/251/137823/251_137823_000025_000001,4.41388463973999,0.7197308540344238,109.32140421525439,0.04411670193076134,0.9804878048780488,1.5768283605575562
dev-clean/251/137823/251_137823_000054_000002,4.432281017303467,0.7365100979804993,116.1660523289234,0.03798776492476463,0.9764150943396226,2.319952964782715
dev-clean/2803/154320/2803_154320_000017_000004,4.351846218109131,0.6396005749702454,107.9108304868868,0.02398928627371788,0.9855072463768115,1.4272270202636719
dev-clean/2803/154328/2803_154328_000028_000000,4.436515808105469,0.6351444125175476,106.27498238427005,0.022439777851104736,0.9709950914770191,1.3360109329223633
dev-clean/2803/154328/2803_154328_000080_000003,4.431760787963867,0.6333704590797424,108.39377268253222,0.01979033648967743,0.9718309859154929,1.6437854766845703
dev-clean/2803/161169/2803_161169_000011_000019,4.240330696105957,0.8198382258415222,98.8804515542572,0.01512059010565281,0.944206008583691,1.5540854930877686
dev-clean/2902/9008/2902_9008_000009_000001,4.309851169586182,0.7167985439300537,109.16299684961672,0.04399426281452179,0.9424280350438047,1.3536962270736694
dev-clean/2902/9008/2902_9008_000048_000003,4.382393836975098,0.7263021469116211,114.04147346143313,0.06169131025671959,0.9908972691807542,1.3449941873550415
dev-clean/3000/15664/3000_15664_000013_000004,4.208493232727051,0.6848377585411072,107.95977539057692,0.04085925966501236,0.9844926894107222,1.667934536933899
dev-clean/3000/15664/3000_15664_000029_000002,4.277286529541016,0.7040982246398926,108.9560291290891,0.05343170464038849,0.9872068230277187,1.5070403814315796
dev-clean/3170/137482/3170_137482_000010_000004,4.312244892120361,0.7040415406227112,111.90013356282448,0.0642896294593811,0.9683257918552036,1.6693699359893799
dev-clean/3170/137482/3170_137482_000037_000001,4.386736869812012,0.6746346354484558,114.04089893776981,0.07623907923698425,0.9778812572759022,2.293102502822876
dev-clean/3536/23268/3536_23268_000028_000000,4.266022205352783,0.7606363892555237,114.78752098164779,0.03467056527733803,0.9902048085485307,2.6755824089050293
dev-clean/3576/138058/3576_138058_000019_000003,4.001974105834961,0.7751765847206116,113.57366437315969,0.04102006554603577,0.9717591017352841,2.689532995223999
dev-clean/3752/4943/3752_4943_000026_000002,4.1818718910217285,0.7072928547859192,105.20590721051641,0.03897001966834068,1.0,1.4125009775161743
dev-clean/3752/4943/3752_4943_000056_000002,4.454255104064941,0.666283130645752,112.89185383251619,0.03487274423241615,0.9754385964912281,2.2147998809814453
dev-clean/3752/4944/3752_4944_000031_000000,4.369014263153076,0.6839728355407715,108.72941688887562,0.029529377818107605,0.981294964028777,2.0190582275390625
dev-clean/3752/4944/3752_4944_000063_000003,4.415443420410156,0.7234651446342468,120.61197930013265,0.0319625586271286,0.9753086419753086,2.6730306148529053
dev-clean/3752/4944/3752_4944_000094_000000,4.3837175369262695,0.6857171654701233,115.62436569982928,0.03331262245774269,0.9836065573770493,2.3991291522979736
dev-clean/3853/163249/3853_163249_000058_000000,4.310600757598877,0.71779865026474,116.5493034323743,0.030732247978448868,0.9622641509433962,2.3854496479034424
dev-clean/3853/163249/3853_163249_000125_000004,4.206930160522461,0.7074066996574402,121.20348857335017,0.03256826102733612,0.9771863117870723,2.4930973052978516
dev-clean/5338/24615/5338_24615_000004_000003,4.274394512176514,0.7376033663749695,114.13934449814474,0.030919451266527176,0.9844827586206897,2.7950801849365234
dev-clean/5338/284437/5338_284437_000031_000001,4.283380031585693,0.7950065732002258,114.19258276829312,0.03351932391524315,0.9787234042553191,2.8465933799743652
dev-clean/5536/43358/5536_43358_000012_000001,4.42883825302124,0.660742461681366,110.95906028832682,0.03456501662731171,0.9839080459770115,2.0638885498046875
dev-clean/5536/43359/5536_43359_000015_000000,4.4208598136901855,0.6599873900413513,114.1555506960624,0.026956791058182716,0.9917898193760264,1.6964211463928223
dev-clean/5694/64025/5694_64025_000004_000006,4.418552398681641,0.6747491955757141,110.83540926737435,0.02447020635008812,0.9873217115689382,1.8841235637664795
dev-clean/5694/64029/5694_64029_000006_000005,4.426972389221191,0.6866191029548645,109.42271010970171,0.030744411051273346,0.9752300070771407,1.4268996715545654
dev-clean/5694/64029/5694_64029_000024_000002,4.2787861824035645,0.6702747344970703,109.2512375457924,0.031183410435914993,0.974169741697417,1.771224856376648
dev-clean/5694/64038/5694_64038_000015_000002,4.330111503601074,0.6383712291717529,111.6626281253198,0.026977837085723877,0.9785714285714285,1.6499158143997192
dev-clean/5895/34615/5895_34615_000013_000003,4.343321800231934,0.7923283576965332,112.28605884928727,0.04174578934907913,0.9842696629213483,3.1323490142822266
dev-clean/5895/34615/5895_34615_000025_000000,4.445120811462402,0.7497761845588684,114.64095173918827,0.03274770453572273,0.9729729729729729,3.205839157104492
dev-clean/5895/34622/5895_34622_000029_000002,4.335111618041992,0.8271450996398926,115.99911495312033,0.02992112562060356,0.9556650246305418,2.7553961277008057
dev-clean/5895/34629/5895_34629_000021_000005,4.4165358543396,0.7401387095451355,113.93910116130922,0.056215137243270874,0.9519112207151664,3.17551326751709
dev-clean/6241/61943/6241_61943_000020_000000,4.329671859741211,0.722160816192627,117.00159982894239,0.031562406569719315,0.9605442176870749,1.6065435409545898
dev-clean/6241/61946/6241_61946_000014_000000,4.4144511222839355,0.6842889785766602,116.14717169290378,0.022688215598464012,0.9532224532224531,1.3665306568145752
dev-clean/6241/61946/6241_61946_000051_000001,4.402935981750488,0.64842289686203,112.60615769129107,0.052328672260046005,0.9238578680203046,1.5148735046386719
dev-clean/6295/64301/6295_64301_000010_000002,4.444267272949219,0.6981061100959778,104.30194746267185,0.05165991932153702,0.9948006932409013,1.9179693460464478
dev-clean/6313/66125/6313_66125_000020_000002,4.4267377853393555,0.7541490197181702,115.61349506315244,0.04875168949365616,0.9032258064516129,1.535512089729309
dev-clean/6313/66125/6313_66125_000053_000000,4.474344730377197,0.7315232157707214,112.44149519985059,0.0889221802353859,0.9662921348314608,1.3932890892028809
dev-clean/6313/66129/6313_66129_000011_000001,4.424932479858398,0.7453159689903259,117.32840486754722,0.05912603437900543,0.955631399317406,1.8088910579681396
dev-clean/6313/66129/6313_66129_000045_000004,4.390095233917236,0.7833635210990906,116.14490261147273,0.08035364001989365,0.9559471365638766,1.426066517829895
dev-clean/6313/66129/6313_66129_000081_000000,4.430515289306641,0.7684154510498047,117.62442834978008,0.055259451270103455,0.9501661129568105,1.9051645994186401
dev-clean/6313/76958/6313_76958_000029_000000,4.448825359344482,0.7666544318199158,116.75512556688084,0.07794547080993652,0.9380764163372859,1.3676971197128296
dev-clean/6313/76958/6313_76958_000073_000001,4.480435371398926,0.7188640236854553,115.7553720897461,0.0798221305012703,0.9607843137254902,1.7910507917404175
dev-clean/6319/275224/6319_275224_000014_000001,4.141529083251953,0.7078788876533508,111.71662254566385,0.034180376678705215,0.9898074745186863,2.1924123764038086
